 written on  2Jun2021 at 12:57:20 
  -2.6988037638089994        0.0000000000000000        2.6988037638089994     
   0.0000000000000000        2.6988037638089994        2.6988037638089994     
  -2.6988037638089994        2.6988037638089994        0.0000000000000000     
           8
         279
    3    2    2    3    2    3    6    2    2    2    1    2    2    1    1
    2    2    1    1    1    2    2    1    1    1    1    2    6    2    2
    2    2    2    6    2    2    3    1    1    1    3    2    1    1    1
    1    2    3    1    1    1    1    1    3    1    1    1    1    1    1
    2    1    1    1    1    1    2    2    1    1    1    1    2    3    2
    3    2    1    2    2    1    1    1    1    2    2    1    1    1    1
    1    2    1    1    1    1    1    1    2    1    1    1    1    1    2
    1    1    1    1    1    1    2    1    1    1    2    2    2    3    2
    1    1    2    3    1    1    1    1    1    3    1    1    1    1    1
    1    2    1    1    1    1    1    2    1    1    1    1    1    1    3
    1    1    1    1    1    3    2    1    1    2    3    2    2    2    1
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    2    1    1    1    1    1    1    2    1    1    1    1    1    2    2
    1    1    1    1    2    2    1    2    3    2    3    2    1    1    1
    1    2    2    1    1    1    1    1    2    1    1    1    1    1    1
    3    1    1    1    1    1    3    2    1    1    1    1    2    3    1
    1    1    3    2    2    6    2    2    2    2    2    6    2    1    1
    1    1    2    2    1    1    1    2    2    1    1    2    2    1    2
    2    2    6    3    2    3    2    2    3

   -4    0    2
    5    8    0.75496465E-02  0.15871511E-02
    6    8    0.35120487E-03 -0.13731672E-04
    7    8    0.11067132E-02 -0.23746655E-03
    8    8    0.74806676E-03 -0.11946891E-09

   -4    2    0
    1    1   -0.86672089E-03 -0.64434569E-12
    2    1    0.47171718E-03 -0.10489313E-03
    3    1    0.55316574E-02 -0.87768991E-03
    4    1    0.32748467E-02 -0.92834227E-03
    5    1    0.77075561E-03  0.22248983E-03
    6    1    0.11048000E-02  0.38391046E-04
    7    1   -0.41744690E-03  0.57784825E-04
    8    1    0.21773128E-02  0.16100903E-03
    1    2    0.82017918E-03  0.18237895E-03
    2    2   -0.86616842E-03  0.24835662E-09
    3    2    0.26822586E-03  0.16503131E-04
    4    2    0.12380350E-02 -0.71171886E-04
    5    2   -0.90256187E-03 -0.49287240E-03
    6    2   -0.15007616E-02 -0.38887195E-03
    7    2    0.39345981E-03  0.32041289E-04
    8    2   -0.10227484E-01 -0.30812070E-02
    1    3   -0.21229269E-02 -0.33683798E-03
    2    3    0.39620472E-02 -0.24377495E-03
    3    3   -0.86619468E-03 -0.85727554E-10
    4    3    0.18712438E-02 -0.22349741E-03
    5    3   -0.31891089E-03 -0.14950689E-03
    6    3   -0.18700638E-02 -0.36370574E-03
    7    3   -0.94026842E-04 -0.18626520E-05
    8    3    0.25088932E-02  0.59053523E-03
    1    4    0.12977494E-02  0.36788124E-03
    2    4    0.27753967E-02  0.15955155E-03
    3    4   -0.15922923E-02 -0.19017979E-03
    4    4   -0.50742040E-02 -0.14057483E-09
    5    4    0.21429955E-02  0.13353686E-02
    6    4    0.89762918E-04  0.28849006E-04
    7    4    0.27233262E-02  0.38010960E-03
    8    4   -0.12670711E-02 -0.46257992E-03
    1    5    0.34326688E-02 -0.99088996E-03
    2    5   -0.64735878E-02  0.35351097E-02
    3    5   -0.31897531E-03  0.14953621E-03
    4    5    0.54954320E-02 -0.34243785E-02
    5    5   -0.86615170E-03 -0.66526555E-10
    6    5   -0.24996270E-02  0.62838989E-03
    7    5    0.85951167E-04 -0.38236634E-04
    8    5    0.54520232E-02 -0.11461709E-02
    1    6    0.11048093E-02 -0.38391436E-04
    2    6   -0.18890266E-02  0.48947790E-03
    3    6    0.77124673E-03 -0.14999853E-03
    4    6   -0.22036208E-02  0.70822566E-03
    5    6   -0.65941089E-03 -0.16577141E-03
    6    6   -0.86672004E-03  0.16109059E-10
    7    6    0.15797908E-02 -0.27490010E-03
    8    6    0.68684183E-02  0.26854589E-03
    1    7   -0.83566116E-02 -0.11567561E-02
    2    7    0.48164586E-03 -0.39222526E-04
    3    7    0.23152459E-02 -0.45859384E-04
    4    7    0.63339142E-02 -0.88405996E-03
    5    7   -0.21157093E-02 -0.94120423E-03
    6    7   -0.18564361E-02 -0.32303932E-03
    7    7   -0.50741476E-02 -0.57220118E-10
    8    7   -0.18423974E-02 -0.39532117E-03
    1    8    0.35718582E-02 -0.26413342E-03
    2    8    0.16960567E-01 -0.51096651E-02
    3    8    0.66180316E-03 -0.15577298E-03
    4    8   -0.31974333E-02  0.11673126E-02
    5    8   -0.37257199E-03 -0.78325409E-04
    6    8    0.73709589E-02 -0.28819452E-03
    7    8    0.15678490E-02 -0.33641166E-03
    8    8   -0.86671973E-03 -0.86073301E-11

   -4    2    1
    1    1    0.74806928E-03  0.55935576E-10
    2    1    0.33224418E-02 -0.73879428E-03
    3    1   -0.21024598E-02  0.33359031E-03
    4    1   -0.14083287E-01  0.39922803E-02
    5    1   -0.46449023E-03 -0.13408179E-03
    6    1   -0.18831993E-02 -0.65439871E-04
    7    1    0.98032527E-03 -0.13570062E-03
    8    1   -0.35250035E-02 -0.26066880E-03
    1    2    0.18596692E-02  0.41352505E-03
    2    2   -0.58824229E-02 -0.88675942E-12
    3    2   -0.11037803E-02 -0.67913209E-04
    4    2   -0.84226957E-02  0.48420271E-03
    5    2   -0.60326283E-02 -0.32943092E-02
    6    2    0.20807844E-02  0.53916539E-03
    7    2    0.13443319E-02  0.10947482E-03
    8    2   -0.59742000E-02 -0.17998310E-02
    1    3   -0.51299554E-02 -0.81395317E-03
    2    3    0.98767019E-03 -0.60768373E-04
    3    3    0.74725200E-03 -0.91268278E-10
    4    3    0.39415830E-02 -0.47077404E-03
    5    3   -0.17064699E-02 -0.79999843E-03
    6    3    0.76511131E-03  0.14880516E-03
    7    3   -0.77967996E-03 -0.15443690E-04
    8    3   -0.18543979E-02 -0.43648249E-03
    1    4   -0.71606196E-02 -0.20298672E-02
    2    4    0.32737027E-02  0.18819788E-03
    3    4   -0.27953762E-02 -0.33387297E-03
    4    4    0.74698741E-03  0.10891702E-09
    5    4    0.23892880E-02  0.14888413E-02
    6    4    0.34019428E-02  0.10933567E-02
    7    4   -0.99347381E-03 -0.13866442E-03
    8    4    0.73216024E-03  0.26729593E-03
    1    5    0.90353655E-04 -0.26082189E-04
    2    5   -0.17075539E-03  0.93246726E-04
    3    5    0.12581231E-02 -0.58981222E-03
    4    5   -0.62600182E-02  0.39008168E-02
    5    5   -0.58824231E-02 -0.16422130E-09
    6    5    0.81519013E-03 -0.20493362E-03
    7    5    0.32643001E-02 -0.14521718E-02
    8    5    0.54520273E-02 -0.11461718E-02
    1    6   -0.39671183E-02  0.13785489E-03
    2    6   -0.18890245E-02  0.48947760E-03
    3    6   -0.47450474E-03  0.92285839E-04
    4    6    0.13936275E-01 -0.44790044E-02
    5    6    0.46889185E-03  0.11787635E-03
    6    6   -0.58833778E-02 -0.96423310E-10
    7    6   -0.97501801E-03  0.16966340E-03
    8    6    0.18828915E-02  0.73618499E-04
    1    7    0.98032710E-03  0.13570078E-03
    2    7   -0.78311356E-03  0.63772417E-04
    3    7    0.23141865E-02 -0.45838714E-04
    4    7    0.19327174E-02 -0.26975996E-03
    5    7    0.13374368E-01  0.59497842E-02
    6    7    0.10891063E-02  0.18951578E-03
    7    7    0.74806327E-03 -0.21493711E-09
    8    7   -0.34559715E-02 -0.74154406E-03
    1    8   -0.35372302E-02  0.26157287E-03
    2    8   -0.26361206E-02  0.79417727E-03
    3    8   -0.19286210E-01  0.45395286E-02
    4    8   -0.45413844E-03  0.16579627E-03
    5    8   -0.86724319E-02 -0.18231939E-02
    6    8    0.73709687E-02 -0.28819491E-03
    7    8   -0.34679571E-02  0.74411608E-03
    8    8   -0.58833786E-02  0.63719249E-10

   -4    2    2
    1    1   -0.50741475E-02  0.37261874E-09
    2    1   -0.25681716E-02  0.57107112E-03
    3    1   -0.39235159E-02  0.62253139E-03
    4    1    0.32745236E-02 -0.92825042E-03
    5    1    0.14064071E-01  0.40597998E-02
    6    1   -0.17469080E-02 -0.60703842E-04
    7    1   -0.83566074E-02  0.11567555E-02
    8    1   -0.18792062E-02 -0.13896458E-03
    1    2   -0.76126047E-03 -0.16927772E-03
    2    2   -0.86617296E-03  0.28948275E-11
    3    2    0.18810368E-02  0.11573571E-03
    4    2    0.39629368E-02 -0.22782033E-03
    5    2   -0.16540216E-02 -0.90323136E-03
    6    2    0.20807805E-02  0.53916466E-03
    7    2   -0.77728459E-03 -0.63297550E-04
    8    2    0.74631116E-03  0.22483899E-03
    1    3   -0.99069643E-03 -0.15719041E-03
    2    3   -0.16005847E-02  0.98479780E-04
    3    3   -0.50742041E-02 -0.33473834E-09
    4    3    0.27602802E-02 -0.32968153E-03
    5    3    0.76388327E-02  0.35811093E-02
    6    3   -0.13240426E-02 -0.25751094E-03
    7    3   -0.77927064E-03 -0.15435595E-04
    8    3   -0.60734354E-02 -0.14295469E-02
    1    4    0.12976350E-02  0.36784916E-03
    2    4    0.26828334E-03  0.15423270E-04
    3    4    0.12312880E-02  0.14706210E-03
    4    4   -0.86614799E-03  0.26957596E-10
    5    4    0.96035519E-03  0.59842769E-03
    6    4   -0.79991132E-03 -0.25708524E-03
    7    4    0.25409467E-02  0.35465418E-03
    8    4   -0.17895679E-02 -0.65333185E-03
    1    5    0.66386371E-03 -0.19163368E-03
    2    5   -0.10053333E-02  0.54899459E-03
    3    5   -0.17476396E-03  0.81930149E-04
    4    5   -0.40607598E-03  0.25303875E-03
    5    5   -0.86619295E-03  0.34014290E-09
    6    5    0.12412375E-02 -0.31203883E-03
    7    5   -0.76800689E-03  0.34165911E-03
    8    5    0.59548041E-03 -0.12518695E-03
    1    6   -0.98907676E-03  0.34369835E-04
    2    6   -0.54217861E-02  0.14048743E-02
    3    6   -0.33412210E-02  0.64982897E-03
    4    6   -0.46006726E-03  0.14786189E-03
    5    6    0.11348954E-01  0.28530543E-02
    6    6   -0.86672038E-03 -0.88461977E-10
    7    6   -0.39107472E-02  0.68051097E-03
    8    6    0.18828976E-02  0.73618870E-04
    1    7   -0.41744838E-03 -0.57784901E-04
    2    7    0.48092543E-03 -0.39163952E-04
    3    7   -0.26301943E-02  0.52097725E-04
    4    7   -0.11792509E-02  0.16459432E-03
    5    7   -0.44169922E-03 -0.19649677E-03
    6    7   -0.26483743E-03 -0.46084472E-04
    7    7   -0.86671895E-03 -0.75754192E-11
    8    7    0.21346700E-02  0.45803390E-03
